"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"#","[STITCH_TYPE]","[X]","[Y]"
"*","STITCH","15.783720","5.250000"
"*","STITCH","15.858653","5.000000"
"*","STITCH","17.248733","5.000000"
"*","STITCH","20.248733","5.000000"
"*","STITCH","23.248733","5.000000"
"*","STITCH","23.547347","5.000000"
"*","STITCH","23.382917","4.750000"
"*","STITCH","20.998733","4.750000"
"*","STITCH","17.998733","4.750000"
"*","STITCH","15.917262","4.750000"
"*","STITCH","15.951002","4.500000"
"*","STITCH","18.748733","4.500000"
"*","STITCH","21.748733","4.500000"
"*","STITCH","23.207062","4.500000"
"*","STITCH","23.022774","4.250000"
"*","STITCH","22.498733","4.250000"
"*","STITCH","19.498733","4.250000"
"*","STITCH","16.498733","4.250000"
"*","STITCH","15.974569","4.250000"
"*","STITCH","15.985349","4.000000"
"*","STITCH","17.248733","4.000000"
"*","STITCH","20.248733","4.000000"
"*","STITCH","22.832067","4.000000"
"*","STITCH","22.625894","3.750000"
"*","STITCH","20.998733","3.750000"
"*","STITCH","17.998733","3.750000"
"*","STITCH","15.987497","3.750000"
"*","STITCH","15.986441","3.500000"
"*","STITCH","18.748733","3.500000"
"*","STITCH","21.748733","3.500000"
"*","STITCH","22.411584","3.500000"
"*","STITCH","22.188412","3.250000"
"*","STITCH","19.498733","3.250000"
"*","STITCH","16.498733","3.250000"
"*","STITCH","15.985385","3.250000"
"*","STITCH","15.984329","3.000000"
"*","STITCH","17.248733","3.000000"
"*","STITCH","20.248733","3.000000"
"*","STITCH","21.947941","3.000000"
"*","STITCH","21.695867","2.750000"
"*","STITCH","20.998733","2.750000"
"*","STITCH","17.998733","2.750000"
"*","STITCH","15.983273","2.750000"
"*","STITCH","15.982217","2.500000"
"*","STITCH","18.748733","2.500000"
"*","STITCH","21.431252","2.500000"
"*","STITCH","21.151058","2.250000"
"*","STITCH","19.498733","2.250000"
"*","STITCH","16.498733","2.250000"
"*","STITCH","15.981161","2.250000"
"*","STITCH","15.980105","2.000000"
"*","STITCH","17.248733","2.000000"
"*","STITCH","20.248733","2.000000"
"*","STITCH","20.849749","2.000000"
"*","STITCH","20.530064","1.750000"
"*","STITCH","17.998733","1.750000"
"*","STITCH","15.979049","1.750000"
"*","STITCH","15.977993","1.500000"
"*","STITCH","18.748733","1.500000"
"*","STITCH","20.189114","1.500000"
"*","STITCH","19.823267","1.250000"
"*","STITCH","19.498733","1.250000"
"*","STITCH","16.498733","1.250000"
"*","STITCH","15.976937","1.250000"
"*","STITCH","15.975881","1.000000"
"*","STITCH","17.248733","1.000000"
"*","STITCH","19.427863","1.000000"
"*","STITCH","18.996803","0.750000"
"*","STITCH","17.998733","0.750000"
"*","STITCH","15.974825","0.750000"
"*","STITCH","15.973769","0.500000"
"*","STITCH","18.521926","0.500000"
"*","STITCH","17.992016","0.250000"
"*","STITCH","16.498733","0.250000"
"*","STITCH","15.995617","0.250000"
"*","STITCH","16.116760","0.000000"
"*","STITCH","17.248733","0.000000"
"*","STITCH","17.391200","0.000000"
"*","STITCH","17.248733","0.000000"
"*","STITCH","16.116760","0.000000"
"*","STITCH","15.977853","1.466866"
"*","STITCH","15.984189","2.966852"
"*","STITCH","15.955658","4.465496"
"*","STITCH","15.484984","5.874762"
"*","STITCH","16.045602","6.438773"
